filename,width,height,class,xmin,ymin,xmax,ymax
0.jpg,800,600,Red,127,260,184,384
0.jpg,800,600,Red,373,264,430,388
0.jpg,800,600,Red,622,267,679,391
10.jpg,800,600,Red,122,252,179,376
10.jpg,800,600,Red,374,256,431,380
10.jpg,800,600,Red,629,261,686,385
100.jpg,800,600,Yellow,108,407,139,477
100.jpg,800,600,Yellow,389,415,420,485
100.jpg,800,600,Yellow,249,411,280,481
102.jpg,800,600,Yellow,389,414,420,484
102.jpg,800,600,Yellow,249,411,280,481
102.jpg,800,600,Yellow,108,406,139,476
103.jpg,800,600,Yellow,388,414,419,484
103.jpg,800,600,Yellow,248,411,279,481
103.jpg,800,600,Yellow,108,406,139,476
104.jpg,800,600,Yellow,388,414,419,484
104.jpg,800,600,Yellow,250,411,281,481
104.jpg,800,600,Yellow,108,407,139,477
11.jpg,800,600,Red,122,251,176,379
11.jpg,800,600,Red,629,258,683,386
11.jpg,800,600,Red,375,253,429,381
112.jpg,800,600,Red,93,395,127,467
112.jpg,800,600,Red,244,398,278,470
112.jpg,800,600,Red,391,404,425,476
113.jpg,800,600,Red,243,401,277,473
113.jpg,800,600,Red,390,404,424,476
113.jpg,800,600,Red,94,397,128,469
115.jpg,800,600,Red,390,405,424,477
115.jpg,800,600,Red,244,401,278,473
115.jpg,800,600,Red,93,396,127,468
116.jpg,800,600,Red,389,404,423,476
116.jpg,800,600,Red,243,400,277,472
116.jpg,800,600,Red,94,396,128,468
117.jpg,800,600,Red,93,395,127,467
117.jpg,800,600,Red,391,404,425,476
117.jpg,800,600,Red,243,399,277,471
123.jpg,800,600,Green,192,453,217,509
123.jpg,800,600,Green,408,459,433,515
123.jpg,800,600,Green,300,456,326,511
13.jpg,800,600,Red,630,256,687,383
13.jpg,800,600,Red,373,252,431,379
13.jpg,800,600,Red,120,249,178,376
131.jpg,800,600,Yellow,192,453,217,508
131.jpg,800,600,Yellow,407,460,432,515
131.jpg,800,600,Yellow,300,456,325,511
132.jpg,800,600,Yellow,408,459,433,514
132.jpg,800,600,Yellow,301,456,326,511
132.jpg,800,600,Yellow,192,453,217,508
136.jpg,800,600,Red,409,460,434,515
136.jpg,800,600,Red,302,455,327,511
136.jpg,800,600,Red,193,452,218,509
137.jpg,800,600,Red,409,461,434,514
137.jpg,800,600,Red,302,455,326,511
137.jpg,800,600,Red,193,452,217,509
138.jpg,800,600,Red,408,458,434,515
138.jpg,800,600,Red,301,454,327,511
138.jpg,800,600,Red,192,453,218,510
139.jpg,800,600,Red,301,455,327,512
139.jpg,800,600,Red,192,453,218,510
139.jpg,800,600,Red,408,458,434,515
14.jpg,800,600,Red,123,251,175,377
14.jpg,800,600,Red,632,255,684,381
14.jpg,800,600,Red,376,253,428,379
141.jpg,800,600,Red,209,386,244,464
141.jpg,800,600,Red,517,396,552,474
141.jpg,800,600,Red,364,392,399,470
142.jpg,800,600,Red,518,396,553,474
142.jpg,800,600,Red,364,390,399,468
142.jpg,800,600,Red,209,385,244,463
143.jpg,800,600,Red,517,395,552,473
143.jpg,800,600,Red,365,392,400,470
143.jpg,800,600,Red,208,386,243,464
145.jpg,800,600,Green,208,385,242,465
145.jpg,800,600,Green,365,391,399,471
145.jpg,800,600,Green,519,396,553,476
15.jpg,800,600,Red,116,239,170,368
15.jpg,800,600,Red,640,245,694,374
15.jpg,800,600,Red,376,242,430,371
151.jpg,800,600,Green,207,386,245,465
